"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"20","","1","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=ze9ur28uq7wdies","Bulgaria","Female","29","Year 4","Yes","No","Yes","No","No","","Psychodrama","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"21","2013-09-09 14:54:46","7","en","","Bulgaria","Male","30","Year 3","No","No","No","Yes","No","","","No","No","No","Yes","No","Yes","No","","","No","No","No","No","Yes","","CBT","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"22","2013-09-09 15:27:45","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=pd8974zd4abibyz","Bulgaria","Male","31","Year 5","Yes","No","Yes","No","No","","Interpersonal Therapy,Counselling,Group Psychotherapy,Existential Psychotherapy","Yes","Yes","Yes","Yes","Yes","Yes","No","","Psychoterapeutic skills are important part of understanding the phenomenology of normality and abnormality in psychology and clinical psychiatry.Without this ability psychiatry is like every other medical specialty.It gives comfort ot knowing your patients,and knowing yourself in different clinical situations.","Uncertain","No","No","Yes","Unsure","","Interpersonal Therapy,Group Psychotherapy, Therapeutic Community","10","4","4","2","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","0","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"23","2013-09-09 19:17:08","7","en","","Bulgaria","Male","29","Year 4","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","Uncertain","No","No","No","Unsure","","Cognitive-behavioral, Family, Group psychoterapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Disagree","Disagree","Strongly Disagree","","Yes","Uncertain","No","Yes","Yes","Uncertain","Yes","No","No","Yes","Yes","No","Yes","Yes","Uncertain","Yes","No","No",""
"24","2013-09-10 14:10:02","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=ze9ur28uq7wdies","Bulgaria","Female","29","Year 4","Yes","No","Yes","No","No","","Psychodrama","Yes","Yes","No","Yes","Yes","No","No","","I think it is useful psychotherapy to be included in the speciality of psychiatry or at least to be optional.","Yes","No","No","No","No","","none","0","0","8","0","0","","I pay","I don't have it","I pay","I don't have it","I don't have it","I pay","Yes","10","Neutral","Disagree","Disagree","","","","","","","","","","","No","Yes","Uncertain","Uncertain","No","Yes","Yes","Yes","No","I think it has to be included in the speciality of psychiatry and funded by the hospital where we work, because for now the situation in my country is that we have to pay for psychotherapy on our own and it is very expensive compared to our income."
"25","2013-09-13 11:34:05","7","en","","Bulgaria","Female","33","Year 3","No","No","Yes","No","No","","cognitive behavioral therapy","Yes","Yes","No","Yes","No","No","No","","","No","No","No","No","No","","group psychotherapy, CBT","5","3","10","0","0","","I don't have it","I pay","I pay","I don't have it","I don't have it","I don't have it","Yes","10","Agree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"26","2013-09-14 08:13:54","7","en","","Bulgaria","Male","27","Year 1","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Uncertain","Yes","No","No","Unsure","","Group Psychotherapy, Therapeutic Community","0","0","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","Yes","10","Strongly Disagree","Disagree","Strongly Disagree","","","","","","","","","","","No","No","No","No","No","No","No","No","No",""
"27","2013-09-15 09:11:48","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=wgcwz38b5j2zur5","Bulgaria","Male","33","Year 4","Yes","No","Yes","No","No","","Motivational Interviewing","Yes","Yes","No","Yes","Yes","Yes","No","Motivational Interviewing","I need supervision in counselling and interviewing patients as part of my professional work of psychiatrist and I need also personal psychotherapy","Yes","No","No","No","No","","Psychodynamic Psychotherapy, Counselling, Family and Systematic Therapy, not sure of any others","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No",""
"28","2013-09-16 06:18:47","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=7g66v9i5rckhpyj","Bulgaria","Female","27","Year 2","No","No","Yes","No","No","","Cognitive Behavioural Therapy","Yes","Yes","No","Yes","Yes","No","No","","","Yes","No","No","No","No","","Family and Marital Therapy, Group Psychotherapy","2","10","2","0","0","","State / 3rd party pays","I pay","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","10","Disagree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"29","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"30","","1","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=41615&token=wk2a3gpmhxmhiz4","Bulgaria","Female","29","Year 2","Yes","No","Yes","No","No","","Group Psychotherapy - Psychodrama, Cognitive Behavioral psychotherapy","Yes","Yes","No","Yes","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
