"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"20","2013-09-04 14:34:36","7","en","","Finland","Female","38","Year 6","Yes","No","No","Yes","No","","","No","No","Yes","Yes","Yes","No","No","","I feel a need for skills in integrative type  of psychotherapy. As a psychiatrist I use one time psychodynamic interpretation of the symptoms, sometimes I encourage behavioral type exercises and sometimes family situation needs to be worked up. Some trauma-related training is also needed.","Yes","No","No","No","No","","Psychodynamic psychotherapy, cognitive bahavioural therapy, counselling, group psychotherapy.","2","0","0","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","0","Disagree","Disagree","Strongly Disagree","","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","Psychotherapy training is separate programme for post.grad. students and recently became managed by universities. Training is provided by associations etc. This training meets the above mentioned standards well. However, minimum three years of training cost from 15 000 euros up to 50 000 euros for long psychoanalytical training."
"21","2013-09-11 11:30:43","7","en","","Finland","Female","39","Year 5","Yes","No","No","Yes","No","","","I don't know","Yes","Yes","Yes","No","No","No","","","Yes","No","No","No","No","","cognitive beavioural therapy, family therapy, interpersonal therapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Agree","Disagree","","Uncertain","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Yes","No",""
"22","2013-09-19 18:58:58","7","en","","Finland","Female","32","Year 4","No","No","No","Yes","No","","","I don't know","Yes","No","Yes","No","No","No","integrative, mindfulness based, body-oriented psychotherapy","","Yes","No","No","No","No","","psychodynamic, cognitive behavioural, family, counselling","0","0","0","0","0","","I pay","I pay","I pay","I pay","I pay","I pay","Yes","5","Strongly Disagree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"23","","3","en","","Finland","Female","42","Year 4","Yes","No","No","No","No","I have applied for training","","Yes","Yes","No","Yes","No","No","No","","","Yes","Yes","Yes","No","No","","DKT, CBT, Traumatherapies, cOgnitive remediatibe therapy, C-Basp etc.","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"24","2013-09-20 07:21:29","7","en","","Finland","Female","35","Year 5","Yes","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","No","No","No","Yes","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling,  Group Psychotherapy","0","0","0","1","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Agree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","No","No","No","","No","No","No","No","No",""
"25","","2","en","","Finland","Female","58","More than 8 years in training","No","No","No","Yes","No","","","I don't know","No","No","No","No","No","Yes","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"26","2013-09-20 13:16:19","7","en","","Finland","Female","49","I have recently finished training (within last 5 years)","Yes","No","Yes","No","No","","cignitive behavioural therapy","Yes","Yes","No","Yes","Yes","Yes","No","","I think that it is important to understand when ahd to whom ja what kind of psychotherapy is useful in treatment of different kinds of mental disorders and problems.","Yes","Uncertain","Yes","Yes","Other","you need special trainig fo that","cbt, psychodynamic, family, group","0","4","2","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","0","Disagree","Agree","Agree","","","","","","","","","","","","","","","","","","","",""
"27","2013-09-20 13:23:38","7","en","","Finland","Female","58","More than 8 years in training","No","No","No","Yes","No","","","I don't know","No","No","No","No","No","Yes","","","Yes","Uncertain","Uncertain","Uncertain","No","","Psychodynamic Psychoterapy
Family and Marital Therapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","No","0","Neutral","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
"28","2013-09-20 13:55:32","7","en","","Finland","Male","41","I have recently finished training (within last 5 years)","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","No","No","No","No","","Psychodynamic therapy, cognitive behavioural therapy and interpersonal therapy, family and marital therapy, counceling, group psychoterapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","0","Strongly Disagree","Neutral","Strongly Disagree","","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","No","No","Yes","No","No","No","Yes","Yes","Yes",""
"29","2013-09-20 20:47:35","7","en","","Finland","Female","35","I have recently finished training (within last 5 years)","Yes","No","No","No","Yes","","Family therapy","Yes","Yes","Yes","Yes","Yes","No","No","","I feel that psychotherapy is a very important part of psychiatric training that does not come within the psychiatry specialty training almost at all. I think it should be somehow included in the training, if not fully then at least in a ""beginnings"" system for everyone, since learning just by working is not enough,it doesn't give us enough tools to treat patients in all the ways they need and deserve to be treated.","Yes","No","No","No","No","","Cognitive therapy for the eating disorders patients. Other than that: none that I know.","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","12","Strongly Disagree","Agree","Disagree","","No","No","No","No","Uncertain","Uncertain","Yes","No","No","No","No","No","No","Uncertain","Uncertain","Yes","No","No","In Finland, usually everyone funds their psychotherapy training by themselves, and this is a problem, since it is very expensive."
"30","","2","en","","Finland","Female","46","Year 4","No","Yes","No","No","No","","Integrative","Yes","Yes","Yes","Yes","Yes","Yes","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"31","2013-09-23 13:25:34","7","en","","Finland","Male","31","Year 4","No","No","Yes","No","No","","Cognitive beahavioral therapy","Yes","Yes","No","Yes","No","No","No","","","No","No","No","No","No","","CBT","0","2","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","0","Disagree","Disagree","Disagree","","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"32","2013-10-02 15:02:03","7","en","","Finland","Female","45","Year 3","No","No","No","Yes","No","","","I don't know","Yes","Yes","Yes","Yes","No","No","","I think it would be important for psychiatrists to be trained in some form of psychoterapy. Preferably practising psychiatrists (at least those with some kind of responsibility for population based psychiatric services) should be familiar with various forms of (psycho)therapy in order to be able to assess the need of and give balanced and best possible advice and guidance to patients (and their families) with various needs. 

I think that some form of psychoterapy training should be a requirment in training in psychiatry and offered as part of the training.

As I have no psychotherapy training it is difficult to answer how important this would be for my professional identity. I believe it should be important!","No","No","No","No","No","","Psychotherapy is not in general given at the hospitals or out-patient clinics (where doctors are trained) but patients are adviced to find therapy through the private sector. Many psychotherapists that practice in the private sector have sought and been given proof of fullfilling certain specified requirements for their patients to be entitled to a certain degree of (partial) public funding for up to 2 or 3 years therapy. The funding is granted through a process of annual applications that has to be supported by an evaluation conducted by a psychiatrists and a statement by the psychiatrist and the psychotherapist. The application has to go through a formal approval process conducted by the national funding body. Some patients may receive funding for psychothreapy through their private insurance (less common) and again some may have the opportunity to chose to pay for themselves. Younger children may also be granted funding for therapy through the hospital/health services (that have public funded through tax money).","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","","We have been told that the (UEMS) requirements are that those in training should at least receive general theoretical information on various forms of psychoterapy and the application of psychotherapy as part of the care and treatment of patients with psychiatric illhealth / conditions. After their tarining psychiatrists should be aware of and know the indications and limitations of various common forms of psychoterapy and they should be able to evaluate the need for and progess in therapy."
"33","2013-10-03 13:52:51","7","en","","Finland","Male","30","Year 4","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","Uncertain","No","No","No","Unsure","","CBT, family therapy, interpersonal therapy","0","0","0","0","1","Consultation","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Disagree","Disagree","","No","No","No","No","No","No","No","No","No","No","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","Uncertain","No","The funding for psychotherapy training seems to be in decline. Especially for those who are doing both clinical work and scientific research. Psychotherapy training is not completely mandatory as it is optional if you complete a doctoral thesis during specialisation."
"34","2013-10-11 08:10:45","7","en","","Finland","Male","32","Year 3","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","Yes","No","No","No","No","","none","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","5","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
