"id","Completed","Last page seen","Start language","Token","Date last action","Date started","IP address","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"24","2013-12-17 10:10:04","7","en","","2013-12-17 10:10:04","2013-12-17 09:36:41","194.149.241.3","Germany","Male","30","Year 1","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","Yes","Yes","Yes","Yes","Unsure","","???","2","2","2","1","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","0","Neutral","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
"25","","0","en","","2013-12-17 22:27:45","2013-12-17 22:27:45","82.113.98.138","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"26","2013-12-18 18:01:17","7","en","","2013-12-18 18:01:17","2013-12-18 17:38:23","217.247.0.233","Germany","Female","27","Year 2","No","Yes","No","No","No","","cognitive behavioural therapy","Yes","Yes","Yes","Yes","No","No","No","","very important","Yes","Yes","Yes","No","Unsure","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Gestalt Therapy, Group Psychotherapy","0","1","1","2","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","200","Neutral","Neutral","Neutral","","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Uncertain","Uncertain","Yes","Yes","No","Yes","No","No","No","Yes","Yes",""
"27","","0","en","","2013-12-20 06:14:54","2013-12-20 06:14:54","146.60.44.128","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"28","","0","en","","2013-12-20 07:46:05","2013-12-20 07:45:38","141.76.249.180","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"29","","0","en","","2013-12-20 13:25:38","2013-12-20 13:25:38","139.18.235.209","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"30","2013-12-20 19:46:05","7","en","","2013-12-20 19:46:05","2013-12-20 19:37:53","95.222.77.120","Germany","Female","36","Year 4","No","Yes","No","No","No","","CBT","Yes","No","No","Yes","Yes","No","No","","","Yes","No","Yes","No","Yes","","CBT","1","3","1","4","0","","State / 3rd party pays","I pay","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","0","Disagree","Agree","Agree","","Yes","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes",""
"31","2013-12-21 09:08:24","7","en","","2013-12-21 09:08:24","2013-12-21 08:59:55","79.251.69.245","Germany","Female","32","Year 3","Yes","Yes","Yes","No","No","","Schematherapie, Psychodrama","Yes","Yes","No","No","No","No","No","Schematheerapie, Psychodrama, Hypnotherapie","","Uncertain","No","Yes","Yes","Unsure","","Verhaltenstherapie","0","0","2","1","0","","I pay","I don't have it","I pay","State / 3rd party pays","I pay","I pay","Yes","30","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","Yes","Yes","Uncertain","Uncertain","Uncertain","Yes","Yes","Yes","No","No","Uncertain","No","Uncertain","Uncertain","Uncertain","No","Uncertain",""
"32","","0","en","","2013-12-21 09:45:36","2013-12-21 09:45:36","178.203.85.246","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"33","","6","en","","2013-12-23 21:56:15","2013-12-23 21:45:39","194.149.241.3","Germany","Male","34","Year 2","No","Yes","No","No","No","","Training has not startet yet","Yes","Yes","No","Yes","Yes","Yes","No","","","Yes","Uncertain","Yes","Uncertain","Unsure","","I don't know","2","4","2","1","0","","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","2","Strongly Disagree","Disagree","Neutral","","","","","","","","","","","","","","","","","","","",""
"34","","0","en","","2013-12-27 16:40:37","2013-12-27 16:40:37","194.149.241.3","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"35","","0","en","","2013-12-29 10:08:12","2013-12-29 10:08:12","79.103.211.38","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"36","","0","en","","2013-12-30 07:36:34","2013-12-30 07:36:08","194.149.241.3","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"37","2014-01-10 12:13:56","7","en","","2014-01-10 12:13:56","2014-01-10 12:05:03","194.149.241.3","Germany","Male","45","Year 2","No","No","No","Yes","No","","","Yes","No","No","Yes","No","No","No","","","Uncertain","No","No","No","Unsure","","none","1","1","1","1","0","","I don't have it","I don't have it","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","Yes","0","Disagree","Neutral","Neutral","","No","Yes","Uncertain","No","Uncertain","Uncertain","Yes","Yes","","Yes","Yes","Uncertain","Uncertain","No","Uncertain","Yes","Uncertain","Yes",""
"38","2014-01-10 14:24:14","7","en","","2014-01-10 14:24:14","2014-01-10 14:12:22","137.248.254.180","Germany","Female","41","Year 7","Yes","Yes","Yes","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","Yes","Yes","No","","In Germany there is a special training in psychotherapy and PSYCHOSOMATICS. I think this is a very important specialization, it consists also of aspects of general medicine so that bodily and psychic aspects can be focused.","Yes","No","Yes","Yes","Yes","","Psychodynamic Psychotherapy","3","1","1","2","0","","I pay","I pay","State / 3rd party pays","I pay","State / 3rd party pays","I pay","Yes","10","Agree","Agree","Disagree","","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Please note that in Germany the conditions of becoming a specialist in ""psychiatry and psychotherapy"" are different from those of a specialist in ""psychosomatic medicine and psychotherapy"". The later qualification has more hours of treatment, supervision, theory and own psychotherapy."
"39","","0","en","","2014-01-10 15:19:19","2014-01-10 15:19:19","194.149.241.3","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"40","2014-01-10 15:51:10","7","en","","2014-01-10 15:51:10","2014-01-10 15:43:42","46.177.248.199","Germany","Male","26","Year 3","No","Yes","No","No","No","","Cognitive Behavioral","Yes","Yes","No","Yes","Yes","Yes","No","","","Yes","No","Yes","Yes","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy, Interpersonal Therapy, Counselling, Gestalt Therapy, Group Psychotherapy,","0","2","0","2","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","10","Disagree","Neutral","Disagree","","No","No","No","No","Uncertain","Uncertain","Yes","No","Uncertain","","","","","","","","","",""
"41","2014-01-10 17:22:48","7","en","","2014-01-10 17:22:48","2014-01-10 17:14:03","194.149.241.3","Germany","Female","43","Year 5","Yes","Yes","Yes","No","No","","CBT, Trauma-Therapie, PITT","Yes","Yes","No","Yes","Yes","Yes","No","Traumatherapy","","Yes","No","Yes","No","Unsure","","CBT, IPT, Group, DBT, Trauma,","0","2","0","2","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I pay","Yes","5","Disagree","Strongly Agree","Disagree","","Yes","Yes","Yes","Yes","Uncertain","Uncertain","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No",""
"42","","3","en","","2014-01-12 00:40:59","2014-01-12 00:34:19","62.143.241.171","Germany","Female","32","Year 5","Yes","Yes","No","No","No","","Group Psychotherapy","Yes","Yes","Yes","No","No","Yes","No","","","Yes","No","Yes","Yes","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Therapeutic Community,","0","1","0","3","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"43","2014-01-12 10:46:27","7","en","","2014-01-12 10:46:27","2014-01-12 10:36:34","217.247.61.56","Germany","Male","28","Year 2","No","Yes","No","No","No","","Cogn. Beh. Therapy","Yes","Yes","No","Yes","Yes","No","No","","","Yes","Yes","Uncertain","Yes","Yes","","Cognitive Behavioural Therapy, Psychodynamic Psychotherapy, Group Psychotherapy","0","2","1","4","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","2","Agree","Neutral","Disagree","","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","","Uncertain","Yes","Yes","Uncertain","Yes","Yes","Uncertain","Uncertain","Uncertain","",""
"44","","0","en","","2014-01-13 10:22:08","2014-01-13 10:22:08","194.149.241.3","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"45","","2","en","","2014-01-14 23:23:15","2014-01-14 23:20:40","91.62.244.244","Germany","Female","25","Year 2","No","Yes","No","No","No","","Cognitive Behavioural Therapy","Yes","No","No","Yes","Yes","No","No","","x","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"46","2014-01-15 06:52:54","7","en","","2014-01-15 06:52:54","2014-01-15 06:47:44","194.149.241.3","Germany","Male","37","I have recently finished training (within last 5 years)","No","No","No","No","Yes","","CBT","Yes","Yes","No","Yes","Yes","Yes","No","","","Yes","Yes","Yes","No","Yes","","CBT, Groups, Creative psychotherapy","2","4","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","Yes","5","Disagree","Disagree","Agree","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","",""
"47","","0","en","","2014-01-15 07:32:17","2014-01-15 07:32:17","194.149.241.3","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"48","2014-01-16 14:05:26","7","en","","2014-01-16 14:05:26","2014-01-16 14:00:57","194.149.241.3","Germany","Male","26","Year 1","Yes","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","No","No","","","Yes","No","Yes","Yes","Yes","","Cognitive Behavioural Therapy","0","0","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","Yes","20","Disagree","Agree","Agree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"49","","0","en","","2014-01-22 07:34:38","2014-01-22 07:34:38","93.129.76.62","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"50","","0","en","","2014-01-27 16:41:45","2014-01-27 16:41:45","195.202.41.50","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"51","2014-01-27 23:42:52","7","en","","2014-01-27 23:42:52","2014-01-27 22:25:26","37.24.153.177","Germany","Female","31","Year 2","No","No","Yes","No","No","","Cognitive Behavioural Therapy and Family and Marital Therapy","Yes","Yes","Yes","Yes","Yes","Yes","No","","Preferences are Cognitive Behavioural Therapy, Family and Marital Therapy and Group Psychotherapy.","Yes","Yes","Uncertain","No","Yes","","Cognitive Behavioural Therapy, Group Therapie","1","0","1","1","0","","State / 3rd party pays","I pay","I pay","State / 3rd party pays","State / 3rd party pays","I pay","Yes","35","Neutral","Agree","Disagree","","","","","","","","","","","","","","","","","","","",""
"52","","0","en","","2014-01-27 23:44:34","2014-01-27 23:44:31","37.24.153.177","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"53","","0","en","","2014-01-28 07:53:34","2014-01-28 07:53:34","194.15.64.2","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"54","","0","en","","2014-01-29 13:13:08","2014-01-29 13:13:08","92.75.171.105","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
