"id","Completed","Last page seen","Start language","Referrer URL","0000","0001","0002","0003","0004","0005 [S05A1]","0005 [S05A2]","0005 [S05A3]","0005 [S05A4]","0005 [other]","0006","0007","0008","0009 [SQ1]","0009 [SQ2]","0009 [SQ3]","0009 [SQ4]","0009 [Ax]","0009 [other]","0010","0011 [SQ001]","0011 [SQ002]","0011 [SQ003]","0011 [SQ004]","0012","0012 [other]","0013","0014 [SQ001]","0014 [SQ002]","0014 [SQ003]","0014 [SQ004]","0014 [SQ005]","0015","0016 [SQ001]","0016 [SQ002]","0016 [SQ003]","0016 [SQ004]","0016 [SQ005]","0016 [SQ006]","0017","0018","0019 [SQ001]","0019 [SQ002]","0019 [SQ003]","0020","0021 [SQ001]","0021 [SQ002]","0021 [SQ003]","0021 [SQ004]","0021 [SQ005]","0021 [SQ006]","0021 [SQ007]","0021 [SQ008]","0021 [SQ009]","0022 [SQ001]","0022 [SQ002]","0022 [SQ003]","0022 [SQ004]","0022 [SQ005]","0022 [SQ006]","0022 [SQ007]","0022 [SQ008]","0022 [SQ009]","0023"
"20","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"21","2013-09-03 15:25:44","7","en","","Italy","Female","33","Year 5","Yes","Yes","No","No","Yes","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","Yes","No","No","","","Yes","No","Yes","Yes","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy","0","0","2","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Neutral","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"22","2013-09-03 16:09:18","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=jgaysde7z9urz57","Italy","Male","31","Year 1","Yes","No","Yes","No","No","","I attended a school of Psychodynamic Psychotherapy","Yes","Yes","Yes","No","No","No","No","","","No","No","No","No","Yes","","Cognitive Behavioural Therapy
Psychodynamic Psychotherapy
Individual and Family Counselling
Group Psychotherapy
Therapeutic Community","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","10","Strongly Disagree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"23","2013-09-03 16:56:03","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=fimu8zuiu7qdmry","Italy","Female","31","Year 4","No","No","No","Yes","No","","","Yes","Yes","No","No","No","No","No","Existential Psychotherapy","","No","No","No","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Group Psychotherapy","0","0","3","0","0","","I don't have it","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"24","2013-09-03 16:56:02","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=f58s4h68hgsbeb4","Italy","Female","30","Year 4","Yes","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","No","No","No","Yes","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Group Psychotherapy","0","0","3","0","0","","I don't have it","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","0","Strongly Disagree","Strongly Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"25","","6","en","","Italy","Female","29","Year 4","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","Yes","No","","","Yes","Yes","Yes","Yes","No","","Psychodynamic psychotherapy, cognitive behavioural therapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","20","Strongly Disagree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"26","2013-09-04 11:01:29","7","en","","Italy","Male","37","Year 5","No","Yes","No","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy.","Yes","Yes","Yes","Yes","Yes","No","No","","","No","No","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy.","0","1","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Disagree","Neutral","Neutral","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"27","2013-09-04 12:51:13","7","en","","Italy","Female","26","Year 1","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","Yes","Yes","No","","I just don't know which kind of psychotherapy I will choose in my future career because I'm just starting the first year. But anyway I strongly believe that psychiatry and psychotherapy must be integrated in the most part of cases.","No","No","No","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, counselling","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","5","Strongly Disagree","Strongly Disagree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","Uncertain","Uncertain","Uncertain","Uncertain","","Uncertain","Uncertain","Uncertain","Uncertain",""
"28","2013-09-04 13:00:27","7","en","","Italy","Female","31","Year 4","No","No","Yes","No","No","","Cognitive Behavioural Therapy","Yes","Yes","No","Yes","No","No","No","","","Uncertain","No","No","No","No","","Cognitive Behavioural Therapy","0","0","0","0","0","","I pay","I pay","I pay","I pay","I pay","I pay","Yes","2400","Strongly Agree","Agree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"29","2013-09-04 13:31:20","7","en","","Italy","Female","36","Year 2","Yes","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","Yes","No","Yes","Yes","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","2000","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"30","2013-09-04 19:20:45","7","en","","Italy","Male","30","Year 5","No","No","No","Yes","No","","","Yes","Yes","No","Yes","Yes","No","No","","","No","No","Yes","Yes","Yes","","Psychodynamic psychotherapy, cognitive behavioural therapy, interpersonal therapy","5","0","0","0","0","","I don't have it","I pay","I pay","I don't have it","I don't have it","I pay","Yes","0","Disagree","Disagree","Neutral","","Yes","Yes","Yes","Uncertain","Uncertain","Yes","Yes","Uncertain","Yes","No","Uncertain","No","Uncertain","Uncertain","Yes","No","Uncertain","Uncertain",""
"31","2013-09-05 06:08:05","7","en","","Italy","Female","27","Year 3","Yes","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","Yes","No","","","Yes","No","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy,","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","30","Disagree","Neutral","Disagree","","","","","","","","","","","","","","","","","","","",""
"32","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"33","2013-09-05 16:59:50","7","en","","Italy","Female","31","Year 3","Yes","No","Yes","No","No","","I'm undertaking training in psychodynamic psychotherapy on my initiative.","Yes","Yes","Yes","No","No","No","No","","","Yes","Yes","Yes","Yes","Yes","","Cognitive Behavioural Therapy, Family and Marital Therapy","4","2","3","0","0","","I pay","I pay","I don't have it","I don't have it","I don't have it","I pay","Yes","10","Agree","Agree","Strongly Disagree","","Uncertain","No","Uncertain","Yes","Yes","Yes","Yes","Uncertain","Uncertain","Yes","No","Uncertain","Yes","Yes","Yes","Yes","Uncertain","Uncertain",""
"35","2013-09-08 11:03:53","7","en","","Italy","Male","27","Year 2","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","No","Uncertain","No","No","Yes","","none","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Neutral","Neutral","","","","","","","","","","","","","","","","","","","",""
"36","2013-09-10 14:47:51","7","en","","Italy","Female","29","Year 4","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","Yes","Yes","No","No","Yes","","COgnitive behavioural therapy","6","1","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Neutral","Strongly Disagree","","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"37","2013-09-10 15:29:37","7","en","","Italy","Female","33","Year 4","No","Yes","No","No","No","","Psychodinamic Psychotherapy, Cognitive Behavioural Therapy, Body-oriented Psychotherapy","Yes","Yes","No","Yes","Yes","No","No","","","Yes","Yes","Yes","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Counselling, Group Psychotherapy, Body-oriented Psychotherapy","3","3","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","I pay","Yes","5","Neutral","Agree","Disagree","","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Uncertain","Yes","Yes","No","Uncertain","Uncertain","No","Yes","No","Uncertain",""
"38","2013-09-10 15:59:18","7","en","","Italy","Male","31","Year 4","Yes","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","Uncertain","No","No","No","Yes","","psychodynamic psychotherapy","0","0","0","0","0","","I pay","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","10","Strongly Disagree","Disagree","Strongly Disagree","","Uncertain","Yes","","Uncertain","Yes","Yes","Yes","Yes","Yes","No","Yes","Uncertain","Uncertain","Yes","Yes","Yes","Yes","Yes",""
"39","2013-09-10 16:36:41","7","en","","Italy","Male","29","Year 2","Yes","No","Yes","No","No","","Cognitive behavioral therapy","Yes","Yes","No","Yes","No","No","No","","","Yes","Uncertain","Yes","Yes","No","","none","6","3","0","4","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","State / 3rd party pays","State / 3rd party pays","I pay","Yes","10","Disagree","Agree","Neutral","","Yes","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","No","Yes","No","No","Uncertain","Yes","","No","No",""
"40","2013-09-10 17:48:59","7","en","","Italy","Female","29","Year 4","No","Yes","No","No","No","","Psychodynamic Psychotherapy, Group Psychotherapy","Yes","Yes","Yes","No","Yes","Yes","No","","","Yes","Yes","Yes","Yes","Yes","","Psychodynamic Psychotherapy,Group Psychotherapy, Counselling,","5","4","0","0","0","","State / 3rd party pays","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","20","Neutral","Disagree","Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","Yes","No","Uncertain","Yes","Uncertain","Yes",""
"41","2013-09-10 17:56:26","7","en","","Italy","Male","30","Year 5","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","No","Yes","No","No","Yes","","none","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","5","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","","","","","","","","","",""
"42","2013-09-10 18:33:52","7","en","","Italy","Female","27","Year 3","No","No","No","Yes","No","","","Yes","No","Yes","No","No","No","No","gestalt therapy","I think  could be important for the psychiatrist  undergoing a psychotherapy. I have some doubt about the necessity of psychotherapy in the daily clinical practice,  even if I'm interested in a phenomenological approach to the patient.","No","No","No","No","Unsure","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy

psychotherapy service is separated from the psychiatric service and belongs to the clinical psychology department (we share only a few patients, mostly eating disorders)","0","0","0","0","1","a form of supervision consisting of the discussion of a clinical case with the care-givers' equipe (opsychiatrists, nurses, social assistants..)and  a psychodinamic psychotherapist,  focusing on the equipe dinamics in the care process of that case","I don't have it","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I don't have it","Yes","4","Disagree","Disagree","Strongly Disagree","","Yes","Yes","Yes","Uncertain","Yes","Uncertain","Yes","Uncertain","Uncertain","No","No","No","No","No","No","Yes","No","No",""
"43","2013-09-10 18:26:45","7","en","","Italy","Female","34","Year 4","Yes","No","Yes","No","No","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","No","Yes","No","","","No","Yes","No","Yes","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","0","0","4","0","0","","I pay","I pay","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","20","Strongly Disagree","Agree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Uncertain","No","No","No","No","Uncertain","No","No",""
"44","2013-09-10 23:06:28","7","en","","Italy","Female","35","Year 3","Yes","No","Yes","No","No","","Cognitive bhhavioural psicotherapy","Yes","Yes","No","Yes","No","No","No","","","Yes","No","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive behavioural psicotherapy","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","15","Neutral","Disagree","Disagree","","Yes","Uncertain","No","No","","","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"45","","2","en","","Italy","Female","28","Year 2","No","No","No","Yes","No","","","Yes","Yes","No","Yes","No","No","No","","","No","No","No","No","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"46","","0","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=jj9xkcr4cwu6ymy","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"47","2013-09-11 09:09:45","7","en","","Italy","Female","30","Year 4","Yes","No","No","No","No","nothing","","No","No","No","Yes","No","No","No","","nothing","No","Yes","Yes","Yes","Yes","","all","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","State / 3rd party pays","State / 3rd party pays","I pay","No","0","Strongly Disagree","Strongly Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"48","2013-09-11 09:22:23","7","en","","Italy","Female","31","Year 5","Yes","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","Yes","No","No","No","Yes","","Cognitive Behavioural Therapy, Brief Psychodynamic Psychotherapy","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I pay","Yes","15","Strongly Disagree","Agree","Strongly Disagree","","No","No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","After my psychitric training, I think I'll be completely unqualified to work aa a therapist. Although psichiatrists in Italy are authorized, after specialization, to conduct psychotherapy, we don't receive in our school neither supervion nor fundations.
I'm paying my personal psychotherapy by myself, but it's difficult to pay also supervisor and psychotherapy privite training with my own reesources.
(sorry for my english)."
"49","2013-09-11 10:08:51","7","en","","Italy","Female","32","Year 4","No","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","Yes","No","No","No","Yes","","N","10","4","10","5","10","I am do","I pay","I pay","I pay","I pay","I pay","I pay","Yes","100","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","","","","","","","","","","","","","","","","","",""
"50","2013-09-12 09:14:57","7","en","","Italy","Female","29","Year 3","No","No","No","Yes","No","","","Yes","No","No","Yes","No","No","No","","","Yes","Yes","Yes","Yes","Yes","","CBT","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","No","0","Strongly Disagree","Strongly Disagree","Strongly Disagree","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"51","2013-09-12 11:06:02","7","en","","Italy","Male","28","Year 2","Yes","Yes","Yes","No","No","","During my programme in psychiatry i attend lessons on psychotherapy and practice Brief Adlerian Psychodynamic Psychotherapy with weekly supervision meeting group.

Since 7 yers I'm attending group and individual Psychodynamic Psychotherapy with a Post Freudian approach.","Yes","Yes","Yes","No","No","Yes","No","","I think that psychotherapy and a psychodynamic approach is crucial in the formation and practice of a psychiatry and is the basis of a good therapeutic relation and often one a very important step in the therapeutic process","Yes","No","Uncertain","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural therapy, Counselling, Group Psychotherapy","0","5","1","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","20","Disagree","Agree","Strongly Disagree","","","","","","","","","","","Yes","Yes","No","Yes","No","No","Yes","Uncertain","No",""
"52","2013-09-12 13:19:39","7","en","","Italy","Female","31","Year 5","No","No","No","Yes","No","","","Yes","Yes","Yes","No","No","No","No","","","Yes","No","No","No","Yes","","psychodynamic, cognitive-bahavioural","0","0","0","0","0","","State / 3rd party pays","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","0","Strongly Disagree","Disagree","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"53","2013-09-12 13:19:39","7","en","http://psychinfo.org/limesurvey/index.php?lang=en&sid=39374&token=yp22sqcdnwr8xe8","Italy","Male","35","Year 2","No","No","No","Yes","No","","","Yes","Yes","Yes","Yes","No","No","No","","","Yes","No","No","No","Yes","","Psychodynamic Psychoteraphy, Cognitive-Behavioural Therapy","0","3","0","0","0","","State / 3rd party pays","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I don't have it","Yes","0","Agree","Neutral","Strongly Disagree","","","","","","","","","","","","","","","","","","","",""
"55","2013-09-12 18:14:00","7","en","","Italy","Female","32","Year 5","Yes","No","Yes","No","Yes","","I'm training in Lacanian Psychoanalysis","Yes","Yes","Yes","No","No","No","No","","The theoretical background in the field of psychotherapy within the speciality is incomplete.","Uncertain","Yes","Yes","Yes","Yes","","Brief psychodynamic psychotherapies and psychodrama groups","0","0","4","0","0","","I don't have it","I don't have it","State / 3rd party pays","I don't have it","I don't have it","I pay","Yes","50","Disagree","Agree","Disagree","","","","","","","","","","","","","","","","","","","",""
"56","2013-09-13 09:28:57","7","en","","Italy","Female","27","Year 2","No","No","No","Yes","No","","","Yes","Yes","No","No","Yes","No","No","","","Yes","No","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy,  Gestalt Therapy.","0","0","0","0","0","","State / 3rd party pays","I pay","I pay","State / 3rd party pays","State / 3rd party pays","I pay","Yes","500","Neutral","Neutral","Neutral","","Yes","Yes","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"57","2013-09-14 19:03:07","7","en","","Italy","Male","36","Year 4","No","No","Yes","No","No","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy","Yes","Yes","Yes","Yes","No","No","No","","","No","No","No","No","No","","No one, only supporting psychotherapy!!!","0","0","0","0","0","","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","I don't have it","Yes","10","Neutral","Neutral","Neutral","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes",""
"58","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"59","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"60","","0","en","","","N/A","","","N/A","No","No","No","No","","","","N/A","No","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","N/A","","","","","","","","","","","","","","","","","","","","","","","",""
"61","","6","en","","Italy","Female","50","Year 5","Yes","No","No","No","Yes","","Psychodynamic Psychotherapy","Yes","Yes","Yes","No","No","No","No","","","Yes","No","Yes","Yes","Yes","","Psychodynamic Psychotherapy","8","4","8","4","5","","I pay","I pay","I don't have it","I don't have it","I don't have it","I pay","Yes","0","Disagree","Disagree","Disagree","","","","","","","","","","","","","","","","","","","",""
"62","2013-09-15 13:39:35","7","en","","Italy","Female","29","Year 3","Yes","Yes","Yes","No","No","","Psychodynamic Psychotherapy,Family and Marital Therapy,Group Psychotherapy","Yes","Yes","Yes","No","Yes","Yes","No","","I think that training in psychodinamic psychotherapy is poor. We often guide an individual Psychodinamic psychotherapy and sometimes group psychotherapy. The moments of theoretical training are few. There are enough moments of supervision to grasp what are the mistakes made and reflect on therapeutic modalities more correct.","Uncertain","Yes","No","No","Yes","","Psychodynamic Psychotherapy, Cognitive Behavioural Therapy, Family and Marital Therapy,Group Psychotherapy,","0","0","4","0","0","","State / 3rd party pays","State / 3rd party pays","I don't have it","I don't have it","State / 3rd party pays","I pay","Yes","40","Disagree","Disagree","Disagree","","Uncertain","Uncertain","Yes","Yes","Yes","Yes","Yes","Yes","","No","Uncertain","Yes","Yes","Yes","Yes","No","Yes","Yes","The major requirement is that the training to become a psychotherapist will be regulated. I guess that is necessary to include a sufficient number of supervisions and theory of technique classes with clinical cases. Is necessary investigate the therapeutic or not-therapeutic effects of various forms of terapist's communication with particular attention to the effects on the mechanisms of defense."
