"","q_0009_SQ2","q_0009_SQ3","q_0009_SQ4","q_0009_Ax","q_0009_other","q_0010"
"101","Yes","Not selected","Yes","Not selected",NA,"psychotherapy in pschiatry is very imortant even though there is not much space for psychotherapy in the daily routine. First I need to complete my psychiatric trainig and after i want to start woth psychotherapeutic training"
"102","Not selected","Yes","Not selected","Not selected",NA,NA
"103","Not selected","Yes","Not selected","Not selected",NA,NA
"104","Not selected","Yes","Not selected","Not selected",NA,NA
"105","Not selected","Not selected","Not selected","Yes",NA,NA
"106","Yes","Yes","Yes","Not selected","dramatherapy, musicotherapy",NA
"107","Yes","Not selected","Not selected","Not selected",NA,NA
"108","Not selected","Not selected","Yes","Not selected","Nondirective Psychotherapy",NA
"109","Yes","Yes","Not selected","Not selected",NA,NA
"110","Not selected","Yes","Yes","Not selected",NA,NA
"111","Yes","Yes","Not selected","Not selected",NA,NA
"112","Not selected","Not selected","Not selected","Not selected",NA,NA
"113","Not selected","Yes","Not selected","Not selected",NA,NA
"114","Not selected","Not selected","Yes","Not selected",NA,NA
"115","Yes","Yes","Not selected","Not selected",NA,"CBT is an integral part of treatment of anxiety and mood disorders, which is my fiel of interest."
"116","Yes","Yes","Not selected","Not selected",NA,NA
"117","Yes","Not selected","Not selected","Not selected",NA,NA
"118","Yes","Not selected","Not selected","Not selected",NA,NA
"119","Not selected","Not selected","Not selected","Not selected","body-oriented therapy",NA
"120","Not selected","Not selected","Yes","Not selected","gestalt therapy",NA
"121","Not selected","Yes","Not selected","Not selected","Morito",NA
"122","Not selected","Not selected","Not selected","Not selected",NA,NA
"123","Yes","Not selected","Yes","Not selected",NA,NA
"124","Not selected","Yes","Not selected","Not selected",NA,NA
"125","Not selected","Not selected","Yes","Not selected","nondirective psyhotherapy",NA
"126","Yes","Not selected","Not selected","Not selected",NA,NA
"127","Not selected","Not selected","Not selected","Not selected",NA,NA
"128","Not selected","Yes","Not selected","Not selected",NA,"As a future child psychiatrist I am interested in family/systemic psychotherapy"
"129","Not selected","Not selected","Not selected","Not selected","DBT, existential psychotherapy, gestalt","Preferences - psychotherapy oriented towards mindfulness and acceptance. Also acceptance-commitment therapy."
"130","Yes","Yes","Not selected","Not selected",NA,"No clear preference for any form at this stage."
"131","Not selected","Yes","Not selected","Not selected","trauma/EMDR",NA
"132","Not selected","Not selected","Not selected","Not selected",NA,NA
"133","Yes","Yes","Not selected","Not selected",NA,NA
"134","Not selected","Not selected","Not selected","Not selected",NA,NA
"135","Not selected","Not selected","Not selected","Not selected",NA,NA
"136","Not selected","Not selected","Not selected","Not selected",NA,NA
"137","Yes","Yes","Not selected","Not selected",NA,NA
"138","Not selected","Not selected","Not selected","Not selected",NA,NA
"139","Yes","Yes","Yes","Not selected","DKT, Trauma-, schema-, CAT","I don't think that psychotherapy-training would affect my professional identity. I dont honestly think I would ever participate in psyhotherapy training. However I do have a lot of interest in different psychotherapy types in general and I am eager to learn different techniques in psychotherapical manner."
"140","Yes","Yes","Not selected","Not selected","trauma","I think psychotherapy is an essential part of working as a psychiatrist, as medicine can only do a part of the treatment. I felt ""handless"", out of tools, when I was working without any therapeutic tools. The selection of family therapy came as it was offered free by the university and I was accepted in the training. I thought it would be useful in any field of psychiatry. However, someday I'd like to get more training in one spesific modality. I'm most interested in cognitive ideas and ACT."
"141","Not selected","Not selected","Not selected","Not selected",NA,NA
"142","Yes","Not selected","Not selected","Not selected",NA,"integral element of any succesfull treatment."
"143","Yes","Not selected","Yes","Not selected",NA,"I am currently mostly interested in basic CBT and different CBT based variations like DBT, schema therapy, MBCT, MCT and ACT. I am also intrigued by psychodynamic approach and hypnotherapy, but hold some reservations against them."
"144","Yes","Yes","Yes","Not selected",NA,NA
"145","Yes","Not selected","Not selected","Not selected",NA,"I think it´s important to understand the dynamics of the psyche and undestand psychodynamic therapy, but I personally belive that CBT would be more usefull in practice."
"146","Yes","Yes","Yes","Not selected","gestalt therapy","My personal view is that psychotherapeutic skills support the psychiatrist in working with their client as an experiencing, three dimentional person. I've aexperienced often taht therapeutic communication supports the psychiatric rehabilitation process, supports the effect of medication the psychiatrist prescribes, alleviates suffering that can be treated without medicine, enhances the doctor-patient alliance and motivates the client to invest themselves in the rehabilitation process. My experienced outcome is more productive psychiatric work in terms of the clients well-being.     An important part of applying psychotherapeutic skills is also to see their limitations and how they can be applied appropriately. This requires training in the subject. Also, writing statements as a psychiatrist to patients for them to get financial support from the society for psychotherapy requires understanding of psychotherapy from the psychotherapist. Increasingly psychiatrists in Finland are expected to be able to recommend a certain modality of therapy to their patints when writing these statements. This kind of recommendations require understanding, and hence training, in a wide range of psychotherapeutic modalities."
"147","Yes","Yes","Not selected","Not selected",NA,NA
"148","Not selected","Not selected","Not selected","Yes",NA,NA
"149","Yes","Yes","Not selected","Not selected",NA,"I feel a need for skills in integrative type  of psychotherapy. As a psychiatrist I use one time psychodynamic interpretation of the symptoms, sometimes I encourage behavioral type exercises and sometimes family situation needs to be worked up. Some trauma-related training is also needed."
"150","Yes","Not selected","Not selected","Not selected",NA,NA
"151","Yes","Not selected","Not selected","Not selected","integrative, mindfulness based, body-oriented psychotherapy",NA
"152","Yes","Not selected","Not selected","Not selected",NA,NA
"153","Not selected","Not selected","Not selected","Not selected",NA,NA
"154","Not selected","Not selected","Not selected","Yes",NA,NA
"155","Yes","Yes","Yes","Not selected",NA,"I think that it is important to understand when ahd to whom ja what kind of psychotherapy is useful in treatment of different kinds of mental disorders and problems."
"156","Not selected","Not selected","Not selected","Yes",NA,NA
"157","Yes","Not selected","Not selected","Not selected",NA,NA
"158","Yes","Yes","Not selected","Not selected",NA,"I feel that psychotherapy is a very important part of psychiatric training that does not come within the psychiatry specialty training almost at all. I think it should be somehow included in the training, if not fully then at least in a ""beginnings"" system for everyone, since learning just by working is not enough,it doesn't give us enough tools to treat patients in all the ways they need and deserve to be treated."
"159","Yes","Yes","Yes","Not selected",NA,NA
"160","Yes","Not selected","Not selected","Not selected",NA,NA
"161","Yes","Yes","Not selected","Not selected",NA,"I think it would be important for psychiatrists to be trained in some form of psychoterapy. Preferably practising psychiatrists (at least those with some kind of responsibility for population based psychiatric services) should be familiar with various forms of (psycho)therapy in order to be able to assess the need of and give balanced and best possible advice and guidance to patients (and their families) with various needs.     I think that some form of psychoterapy training should be a requirment in training in psychiatry and offered as part of the training.    As I have no psychotherapy training it is difficult to answer how important this would be for my professional identity. I believe it should be important!"
"162","Yes","Yes","Not selected","Not selected",NA,NA
"163","Yes","Not selected","Not selected","Not selected",NA,NA
"164","Not selected","Not selected","Not selected","Not selected",NA,NA
"165","Not selected","Not selected","Not selected","Not selected",NA,NA
"166","Yes","Yes","Not selected","Not selected",NA,NA
"167","Yes","Not selected","Not selected","Not selected",NA,NA
"168","Yes","Not selected","Not selected","Not selected",NA,NA
"169","Not selected","Yes","Not selected","Not selected","brief therapies","according to me, it's essential for us - as psychiatrists- not be able to use psychotherapy(ies) with our patients. it's not just about medecine. both medecines and psychotherapies are tools we need to master in order to treat our patients as good as possible"
"170","Not selected","Yes","Not selected","Not selected",NA,NA
"171","Not selected","Yes","Yes","Not selected",NA,NA
"172","Not selected","Not selected","Not selected","Not selected",NA,NA
"173","Not selected","Not selected","Yes","Not selected",NA,NA
"174","Yes","Yes","Not selected","Not selected",NA,"it's difficult to choose a kind of psychotherapy at the beginning, I would prefer to try different types."
"175","Not selected","Yes","Not selected","Not selected",NA,NA
"176","Not selected","Not selected","Not selected","Not selected",NA,NA
"177","Not selected","Yes","Not selected","Not selected",NA,NA
"178","Not selected","Yes","Not selected","Not selected",NA,"I can be a psychiatrist whithout beeing a psychotherapeut. For me, psychotherapist is another way to increase the interest of my job."
"179","Not selected","Not selected","Yes","Not selected",NA,NA
"180","Not selected","Not selected","Not selected","Not selected",NA,NA
"181","Not selected","Yes","Not selected","Not selected",NA,NA
"182","Yes","Yes","Yes","Not selected",NA,NA
"183","Not selected","Not selected","Not selected","Not selected",NA,NA
"184","Not selected","Not selected","Not selected","Not selected","Psychoanalisis","Psychiatrie et psychotherapie sont proches. Les techniques psychotherapeutiques sont des techniques visant explicitement et consciemment le fait de ramener le patient à des modalités psychiques socialisables.  La psychanalyse en tant que telle s'éloigne de cette visée, en etant la seule technique ( en   ce sens, peut etre que ce n'est pas de la psychotherapie) visant l'émergence de la subjectivité propre du patient, ce n'est que secondairement qu'elle permet la conflictualisation de cette derniere avec une normalisation sociale et donc parfois la ""guerison"". En ce sens elle est eloignee des buts que visent le psychiatre. Elle ne permet donc pas de prendre en charge toute souffrance psychique, mais seulement celle où un mouvement de (re)-subjectivisation est possible (au vu de la realité)et necessaire (pour le sujet)"
"185","Yes","Not selected","Not selected","Not selected",NA,NA
"186","Not selected","Yes","Not selected","Not selected",NA,NA
"187","Yes","Yes","Yes","Not selected",NA,NA
"188","Yes","Yes","Not selected","Not selected",NA,NA
"189","Not selected","Yes","Not selected","Not selected","psycho-corporel","psychotherapy is important and interesting. i consider we do not have any training in psychotherapy on our medical studies. it is a personal motivation."
"190","Not selected","Yes","Yes","Not selected",NA,NA
"191","Yes","Yes","Yes","Not selected",NA,NA
"192","Yes","Yes","Not selected","Not selected",NA,"Psychotherapy is essential ; it's 50% of the patient's psychical work. I cannot be a complete psychiatrist without it. The turf war between psychodynamic and cognitive behavioral psychpotherapie is stupid. The eclectic approach seems to be more constructive. It's important to be trained to one method, while staying opened to the other methods.    The drugs and the social rehabilitation are also essential, and additionnal to the psychotheapy. The drugs help the patient to be able to think and increase thanks to the psychotherapy."
"193","Not selected","Yes","Not selected","Not selected",NA,NA
"194","Not selected","Yes","Not selected","Not selected",NA,"this is a big part of the patient's treatment, drugs are not enough, indeed systemic therapy ables to change interactions and ways of communication between the patient and his family and provides better results"
"195","Not selected","Not selected","Not selected","Not selected",NA,NA
"196","Yes","Yes","Yes","Not selected",NA,NA
"197","Yes","Not selected","Not selected","Not selected",NA,NA
"198","Not selected","Yes","Yes","Not selected",NA,NA
"199","Not selected","Yes","Yes","Not selected",NA,"Psychotherapy is very very important for a psychiatrist, we cannot separate psychotherpist process of medical cure process."
"200","Not selected","Yes","Not selected","Not selected",NA,"I think that psychotherapy is a way to understand mental illnesses and brings a response that is more appropriate than drugs only."
"201","Yes","Not selected","Not selected","Not selected","all evidence based psychotherapy","as a MD i think we are scientist , so only evidence based psychotherapy is  important for me. In addition, it permit to know what you can do and what you can't and know the limit of psychotherapy. In the past strange things have been done with psychotherapy, no évaluation, belief based theory, dangerous things that not represent a medical practice and made the credibility of psychiatry low.  Financial pression, demographic pression(offer & demand), time allowed by patient, push the bad psychiatrist to loose this approach but we must defend médical practice. Of course many professionals want to work in the medical field, it's a good way to make money for them.  Actual danger for me is to be lesss defensive, and so on , psychatry take the risk to became atrophic , stuck between neurology and psychology. All patient with Emotion, behavioral, and cognition symptoms should be directly oriented to a psychiatrist.We must defend psychotherapy but also Alzheimer's disease, OCD, ADHD, if we got aetiology it's still be a psychiatric disease.  Beware of this study results, when you read the wikipedia page of clinical psychology, it is said that psychiatrist are not well trained so we can deduce that clinical psychologist is more effective in this field."
"202","Not selected","Not selected","Not selected","Not selected",NA,NA
"203","Yes","Yes","Not selected","Not selected",NA,NA
"204","Not selected","Yes","Not selected","Not selected","Hypnosis, Mindfullness",NA
"205","Yes","Yes","Not selected","Not selected","hypnosis psychotherapy",NA
"206","Not selected","Yes","Not selected","Not selected",NA,NA
"207","Yes","Yes","Not selected","Not selected",NA,NA
"208","Not selected","Not selected","Not selected","Not selected",NA,NA
"209","Not selected","Not selected","Not selected","Not selected",NA,NA
"210","Yes","Not selected","Yes","Not selected",NA,NA
"211","Not selected","Yes","Not selected","Not selected","Hypnosis","I think all the psychiatrist do pratice some sort of psychotherapy, because the way we communicate change the patient attitude toward his disease and possibility of getting better. If we don't pay attention to the way we talk with the patient (the type of questions, the point we insiste on, words revealing our underlying hypothesis and opinions about mental heath, ...), we make huge mistakes."
"212","Yes","Not selected","Not selected","Not selected",NA,NA
"213","Not selected","Not selected","Not selected","Not selected",NA,NA
"214","Not selected","Yes","Not selected","Not selected","hypnosis psychotherapy",NA
"215","Yes","Yes","Yes","Not selected",NA,"I like to learn about as many therapies as I can but the reality is that I can not be good at all. I chose to learn specially about BCT because I found it offers great tools to help my patients without being only a psychotherapist. I was not at ease with analytic therapy and would like in the future, to learn more about systemic therapy which would be very useful with teens."
"216","Not selected","Yes","Not selected","Not selected",NA,"Systemic therapy is a key to the daily life problems of our patients."
"217","Yes","Not selected","Not selected","Not selected",NA,NA
"218","Yes","Not selected","Not selected","Not selected",NA,NA
"219","Not selected","Yes","Not selected","Not selected",NA,NA
"220","Yes","Yes","Yes","Not selected",NA,"Basi cskills and knowledge in psychotherapy is compulsory. However the choice of the field and the training should be left as a personal decision (people you meet make your decision and you may then have enought motivation to complete a full training sometimes in a city and university far away)  As usual, money is a big problem..."
"221","Not selected","Yes","Not selected","Not selected",NA,NA
"222","Not selected","Not selected","Not selected","Not selected",NA,NA
"223","Not selected","Not selected","Not selected","Not selected",NA,NA
"224","Yes","Not selected","Not selected","Not selected",NA,NA
"225","Yes","Yes","Not selected","Not selected",NA,NA
"226","Yes","Not selected","Not selected","Not selected",NA,NA
"227","Not selected","Not selected","Not selected","Not selected",NA,NA
"228","Not selected","Yes","Yes","Not selected",NA,NA
"229","Yes","Not selected","Not selected","Not selected",NA,"A grateful tool in adjunction of Pharmacology.  Cognitive and Behavioral therapy is really adapted in our actual mind of health organisation but psychodynamic Psychotherapy seems to me very usefull to work in team."
"230","Not selected","Yes","Not selected","Not selected","Thérapie breve",NA
"231","Not selected","Yes","Not selected","Not selected",NA,"What's important is to be able to use smattering of psychoterapeutic concepts, but I think it's not the role of the psychiatrist to practise a complete psychotherapy with a patient."
"232","Yes","Not selected","Not selected","Not selected",NA,NA
"233","Yes","Not selected","Yes","Not selected",NA,"Efficiency, science and evidence based treatment, taking care about the new evidences from research (ACT coming  from Relational Frame theory, a theory about the humain langage), respect about the education and information what patients deserve."
"234","Yes","Not selected","Not selected","Not selected",NA,"La psychothérapie est un outil primordial de l'arsenal thérapeutique, que l'on devrait aussi bien maitriser que la pharmacologie, son impact étant prouvé scientifiquement. Il s'agit aussi d'une demande des patients et se contenter d'entretiens non structurés peut les amener à penser qu'ils sont responsables du peut d'amélioration de leur état, entretenant ainsi le processus pathologique. Actuellement je trouve que la formation aux psychothérapies est totalement aléatoire en France et non valorisée dans le cursus de base (particulièrement dans la subdivision de Brest où je suis en formation), les facultés de proposant quasiment que des ""initiations"" dont la qualité est souvent pauvre. Il reste que l'obtention du doctorat de médecine et la validation du DES (diplôme d'études spécialisé) de psychiatrie ne nécessite aucunement que l'on se forme à quelque thérapie que ce soit, permettant (et entretenant!) le fait que l'on puisse être qualifié de thérapeute sans avoir était à aucun moment formé à cela !!!"
"235","Not selected","Not selected","Not selected","Not selected","mindfulness",NA
"236","Yes","Not selected","Not selected","Not selected",NA,"Psychodynamic Psychotherapy; outstanding way to cure patients, to heal them basically; but there some indications, where it will not work."
"237","Yes","Yes","Yes","Not selected",NA,NA
"238","Yes","Not selected","Yes","Not selected","Counselling","As a doctor the psychotherapy training in becoming a psychiatrist should get more importance. This means doctors should practise psychotherapy more an do less other things, especially documentation. This could be done by someone else."
"239","Not selected","Not selected","Yes","Not selected",NA,"I think that group psychotherapy is neccessary to see the interactions of any patient in the group, so you can see his problems as in his real life."
"240","Not selected","Not selected","Not selected","Not selected",NA,NA
"241","Yes","Not selected","Not selected","Not selected",NA,NA
"242","Yes","Not selected","Not selected","Not selected",NA,NA
"243","Yes","Not selected","Not selected","Not selected",NA,NA
"244","Not selected","Not selected","Not selected","Not selected",NA,NA
"245","Yes","Yes","Not selected","Not selected",NA,NA
"246","Yes","Not selected","Not selected","Not selected","interpersonal psychotherapy",NA
"247","Not selected","Not selected","Not selected","Not selected",NA,NA
"248","Yes","Not selected","Not selected","Not selected",NA,"very important"
"249","Not selected","Not selected","Not selected","Not selected",NA,NA
"250","Not selected","Not selected","Not selected","Not selected",NA,NA
"251","Not selected","Not selected","Not selected","Not selected",NA,NA
"252","Yes","Yes","Not selected","Not selected",NA,NA
"253","Not selected","Not selected","Not selected","Not selected","Schematheerapie, Psychodrama, Hypnotherapie",NA
"254","Not selected","Not selected","Not selected","Not selected",NA,NA
"255","Yes","Yes","Yes","Not selected",NA,NA
"256","Not selected","Not selected","Not selected","Not selected",NA,NA
"257","Not selected","Not selected","Not selected","Not selected",NA,NA
"258","Not selected","Not selected","Not selected","Not selected",NA,NA
"259","Yes","Not selected","Not selected","Not selected",NA,NA
"260","Not selected","Yes","Yes","Not selected",NA,"In Germany there is a special training in psychotherapy and PSYCHOSOMATICS. I think this is a very important specialization, it consists also of aspects of general medicine so that bodily and psychic aspects can be focused."
"261","Not selected","Not selected","Not selected","Not selected",NA,NA
"262","Yes","Yes","Yes","Not selected",NA,NA
"263","Yes","Yes","Yes","Not selected","Traumatherapy",NA
"264","Not selected","Not selected","Yes","Not selected",NA,NA
"265","Yes","Yes","Not selected","Not selected",NA,NA
"266","Not selected","Not selected","Not selected","Not selected",NA,NA
"267","Yes","Yes","Not selected","Not selected",NA,"x"
"268","Yes","Yes","Yes","Not selected",NA,NA
"269","Not selected","Not selected","Not selected","Not selected",NA,NA
"270","Yes","Yes","Not selected","Not selected",NA,NA
"271","Not selected","Not selected","Not selected","Not selected",NA,NA
"272","Not selected","Not selected","Not selected","Not selected",NA,NA
"273","Yes","Yes","Yes","Not selected",NA,"Preferences are Cognitive Behavioural Therapy, Family and Marital Therapy and Group Psychotherapy."
"274","Not selected","Not selected","Not selected","Not selected",NA,NA
"275","Not selected","Not selected","Not selected","Not selected",NA,NA
"276","Not selected","Not selected","Not selected","Not selected",NA,NA
"277","Not selected","Yes","Yes","Not selected",NA,NA
"278","Yes","Not selected","Yes","Not selected",NA,"In my opinion every training programme in psychiatry should offer:   - training in psychotherapy, various modalities   - the possibility of personal therapy of the trainee"
"279","Not selected","Not selected","Not selected","Not selected",NA,NA
"280","Not selected","Not selected","Not selected","Not selected",NA,NA
"281","Yes","Yes","Not selected","Not selected",NA,NA
"282","Not selected","Not selected","Not selected","Not selected",NA,NA
"283","Yes","Yes","Not selected","Not selected",NA,"Psychiatry is not only medicine.    Psychotherapy modifies and improves brain function and by extension psychiatric disorders"
"284","Not selected","Yes","Not selected","Not selected",NA,"There's no psychiatry, without psychotherapy in my opinion."
"285","Yes","Yes","Yes","Not selected","gestalt psychotherapy, existensial psychotherapy",NA
"286","Not selected","Not selected","Not selected","Not selected",NA,NA
"287","Not selected","Not selected","Not selected","Not selected",NA,NA
